,src_lang,tgt_lang,src_text,mt_text,ground_truth_text,ground_truth_classification,raw_output,prediction_hall,prediction_label,prompt_method,model,span_match_type,score_comet_qe
0,spa_Latn,eng_Latn,"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.","If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.",2_Small_hallucination,"1.  If you want to learn how to throw a búmeran and get it back into your hand, make sure you have one that's suitable for the return. 
2.  3_Partial_hallucination","1.  If you want to learn how to throw a búmeran and get it back into your hand, make sure you have one that's suitable for the return.",partial_hallucination,one,gemma2,false_negative,1.2833603620529177
1,spa_Latn,eng_Latn,"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",1_No_hallucination,"1.  ""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.""

2_Small_hallucination","1.  ""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.""",small_hallucination,one,gemma2,true_negative,1.1245404481887815
2,spa_Latn,eng_Latn,"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",1_No_hallucination,"1. In the present day, providing luxury accommodation and breakfast has become, for first-world countries, a kind of art form. <<<  luxury accommodation and breakfast>>>

2_Partial_hallucination",,partial_hallucination,one,gemma2,true_negative,0.5680681765079498
3,spa_Latn,eng_Latn,"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.","Let's see what the other <<<fucked-up>>> bilbiotecarians think of <<<you>>> for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's <<<skinny>>> faggots like you, cock-headed cocksucker.",3_Partial_hallucination,"1. Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.

2_Partial_hallucination","1. Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.",partial_hallucination,one,gemma2,false_negative,1.8242007493972776
4,spa_Latn,eng_Latn,Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,He's always called and he's always calling.,1_No_hallucination,"1.  Siempre se ha llamado y seguirá llamando BANDO NACIONAL. 
2.  No_hallucination",,no_hallucination,one,gemma2,true_negative,1.97308611869812
5,spa_Latn,eng_Latn,"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without <<<a hint>>>) of Argentine football, seems too biased to me.",2_Small_hallucination,"1.  Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me. 
2.  3_Partial_hallucination","1.  Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.",partial_hallucination,one,gemma2,false_negative,1.0125221274793148
6,spa_Latn,eng_Latn,"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",1_No_hallucination,"1. Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down. 
2. 3_Partial_hallucination 


**Explanation:**

The target sentence includes the word ""it's"" which is not explicitly mentioned in the source sentence. The translation attempts to capture the meaning but introduces a new element without direct source-sentence support, leading to an apparent hallucination.","1. Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",partial_hallucination,one,gemma2,true_negative,1.1853152513504028
7,spa_Latn,eng_Latn,"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",1_No_hallucination,"1.  They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.
2. No_hallucination","1.  They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",no_hallucination,one,gemma2,true_negative,0.5387436151504517
8,spa_Latn,eng_Latn,"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",1_No_hallucination,"1.  Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años. 
2. No_hallucination


**Explanation:**

The target sentence accurately reflects the meaning of the source sentence without introducing any fabricated information or content. It clearly conveys the idea that religious scholars, philosophers and scientists have studied time for thousands of years.",,no_hallucination,one,gemma2,true_negative,0.5367379188537598
9,spa_Latn,eng_Latn,"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",1_No_hallucination,"1.  If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query). 
2. 3_Partial_hallucination","1.  If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",partial_hallucination,one,gemma2,true_negative,1.1305778622627258
10,spa_Latn,eng_Latn,Me gustaría saber cuál es la fuente que indica que el sulfato de sodio sirva para acidulante.,I'd like to know what the source of the sodium sulfate is.,I'd like to know what the source of the sodium sulfate is.,1_No_hallucination,"1. Me gustaría saber cuál es la fuente que indica que el sulfato de sodio sirva para acidulante.
2. No_hallucination",,no_hallucination,one,gemma2,true_negative,1.066714271903038
11,spa_Latn,eng_Latn,"Exactamente a las 8:46 a. m., la ciudad se volvió silencio, marcando el preciso instante en el que el primer avión alcanzó su objetivo.","At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.","At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.",1_No_hallucination,"1. At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target. 
2. No_hallucination","1. At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.",no_hallucination,one,gemma2,true_negative,0.5335438549518585
12,spa_Latn,eng_Latn,"La verdad, como buen producto argentino, una mezcolanza de nombres destacados con personajes intrascendentes y de cuarta (futbolistas, Tristán, etc.).","The truth is, it's a good mix of names, and it's not a bad mix of names.","The truth is, it's a good mix of names, <<<and it's not a bad mix of names>>>.",3_Partial_hallucination,"1. The truth, as a good Argentine product, is a mixture of prominent names with unimportant characters and fourth-tier (footballers, Tristán, etc.). <<< >>> 

2_Small_hallucination 


Let me know if you'd like to try another example!",,small_hallucination,one,gemma2,false_negative,1.4849755465984344
13,spa_Latn,eng_Latn,"Sinceramente no había pensado en ello, a mí no me sonó antinatural y la RAE no parece considerarlo un error.","I honestly didn't think about it, and I don't think it was a mistake.","I honestly didn't think about it, and I don't think it was a mistake.",1_No_hallucination,"1.  I honestly didn't think about it, and I don't think it was a mistake. 
2. No_hallucination","1.  I honestly didn't think about it, and I don't think it was a mistake.",no_hallucination,one,gemma2,true_negative,1.08368282020092
14,spa_Latn,eng_Latn,Saludos.SRuizR 15px ¡Para servirles!,Greetings. We're here to serve you!,Greetings. We're here to serve you!,1_No_hallucination,"1. Greetings. SRuizR 15px ! Para servirles!
2. No_hallucination",,no_hallucination,one,gemma2,true_negative,0.9860679768025876
15,spa_Latn,eng_Latn,"A la fecha de su deceso, aparte de haber sido medallista olímpico y mundial, Saito era director del comité de entrenamiento de la Federación de Judo japonesa.","At the time of his death, Saito was the world's longest-serving member of the Judo Federation.","At the time of his death, Saito was the world's longest-serving member of the Judo Federation.",1_No_hallucination,"1. At the time of his death, Saito was the world's longest-serving member of the Judo Federation.
2. 3_Partial_hallucination","1. At the time of his death, Saito was the world's longest-serving member of the Judo Federation.",partial_hallucination,one,gemma2,true_negative,1.0138306841254234
16,spa_Latn,eng_Latn,"«Gracias por los que apoyaron a un convicto como yo», dijo Siriporn en una conferencia de prensa, según se lo citó.","""Thank you for supporting a convict like me"", said Siriporn in a press conference.","""Thank you for supporting a convict like me"", said Siriporn in a press conference.",1_No_hallucination,"1.  ""Thank you for supporting a convict like me"", said Siriporn in a press conference, according to her. 
2.  No_hallucination 

 
Please let me know if you have any other sentences you'd like me to evaluate! I'm ready. 😊","1.  ""Thank you for supporting a convict like me"", said Siriporn in a press conference, according to her.",no_hallucination,one,gemma2,true_negative,0.5647588968276978
17,spa_Latn,eng_Latn,"Las familias con hijos son algo que no se ve frecuentemente, pero ciertos albergues los aceptan en cuartos privados.","Families with children don't get to see each other often, but they do get to know each other.","Families with children don't get to see each other often, <<<but they do get to know each other>>>.",3_Partial_hallucination,"1.  Las familias con hijos son algo que no se ve frecuentemente, pero ciertas albergues los aceptan en cuartos privados.
2. 3_Partial_hallucination 


**Explanation:**

The target sentence introduces the concept of ""certain albergues"" accepting families with children.  This is a new piece of information not present in the source. This is an example of partial hallucination as it involves introducing new content that does not directly correspond to the original text.",,partial_hallucination,one,gemma2,false_negative,1.1596766412258148
18,spa_Latn,eng_Latn,Saludos desde España.,Greetings from Spain.,Greetings from Spain.,1_No_hallucination,"1. Greetings from Spain. 
2_No_hallucination",1. Greetings from Spain.,no_hallucination,one,gemma2,true_negative,0.3588182330131531
