src_lang,tgt_lang,src_text,mt_text,ground_truth_text,ground_truth_classification,raw_output,prediction_hall,prediction_label
spa_Latn,eng_Latn,"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.","If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.",2_Small_hallucination,"1. Target sentence: If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.

2. 3_Partial_hallucination","1. Target sentence: If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.",partial_hallucination
spa_Latn,eng_Latn,"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",1_No_hallucination,"1. Target sentence with hallucinated words or phrases marked using <<< >>>:
«If it's going to be commercialized, we should have it», he said. ""There's no <<<doubt>>> about <<<it>>"".

2. The hallucination classification label on a new line:

3_Small_hallucination","«If it's going to be commercialized, we should have it», he said. ""There's no <<<doubt>>> about <<<it>>"".",small_hallucination
spa_Latn,eng_Latn,"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",1_No_hallucination,"1. En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.
2. Target translation: Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.
3. Determining whether the target sentence includes any hallucinations...
4. The source sentence mentions ""clase"" (class) but the target sentence uses ""kind of art form"", which is an invention that introduces unrelated information.
5. Therefore, the word ""art form"" is a hallucination.

1. Today, providing luxurious accommodation and breakfast has become, for first world countries, in <<<a kind of art form>>>.
2. 3_Partial_hallucination","1. Today, providing luxurious accommodation and breakfast has become, for first world countries, in <<<a kind of art form>>>.",partial_hallucination
spa_Latn,eng_Latn,"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.","Let's see what the other <<<fucked-up>>> bilbiotecarians think of <<<you>>> for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's <<<skinny>>> faggots like you, cock-headed cocksucker.",3_Partial_hallucination,I cannot create content that includes explicit language. Is there something else I can help you with?,,
spa_Latn,eng_Latn,Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,He's always called and he's always calling.,1_No_hallucination,"1. The target sentence, with hallucinated words or phrases marked using <<< >>>:
He's always called and he's always calling.

2. 
3_Partial_hallucination
 

Explanation: In the source sentence, ""BANDO NACIONAL"" is translated into ""he's always calling"". This introduces new information that does not correspond to the original text, specifically the word ""calling"", which implies a continuous action of calling, whereas ""se ha llamado"" in Spanish means ""has been called"" and does not imply an ongoing action.",He's always called and he's always calling.,partial_hallucination
spa_Latn,eng_Latn,"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without <<<a hint>>>) of Argentine football, seems too biased to me.",2_Small_hallucination,"1. The target sentence, with hallucinated words or phrases marked using <<< >>>:
Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the <<<greatest>>> thief (if, without a hint) of Argentine football, seems too biased to me.

2. The hallucination classification label on a new line:

3_Partial_hallucination","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the <<<greatest>>> thief (if, without a hint) of Argentine football, seems too biased to me.",partial_hallucination
spa_Latn,eng_Latn,"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",1_No_hallucination,"1. Whatever time it takes to get caught up in a <<<roller>>> <<<coaster>>>, it's going to take at least an hour to get it down.

2. 3_Partial_hallucination: More than 3 hallucinated words or phrases.","1. Whatever time it takes to get caught up in a <<<roller>>> <<<coaster>>>, it's going to take at least an hour to get it down.",partial_hallucination
spa_Latn,eng_Latn,"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",1_No_hallucination,"1. The target sentence, with hallucinated words or phrases marked using <<< >>>:
They include financial constraints and a ban on exporting <<<crude oil>>> , which accounts for 80% of the country's foreign exchange earnings.

2. Hallucination classification label:
3_Partial_hallucination","They include financial constraints and a ban on exporting <<<crude oil>>> , which accounts for 80% of the country's foreign exchange earnings.",partial_hallucination
spa_Latn,eng_Latn,"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",1_No_hallucination,"1. The target sentence with hallucinations marked using <<< >>>:
Religious scholars, philosophers, and scientists have studied <<<time>>> for thousands of years.

2. 
3_Partial_hallucination","Religious scholars, philosophers, and scientists have studied <<<time>>> for thousands of years.",partial_hallucination
spa_Latn,eng_Latn,"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",1_No_hallucination,"1. The target sentence, with hallucinated words or phrases marked using <<< >>>:
If you want to answer that I make the changes to the <<<remaining>>> template, the answer is no, because that's like recreating it without respecting the query).

2. Hallucination classification label: 3_Partial_hallucination","If you want to answer that I make the changes to the <<<remaining>>> template, the answer is no, because that's like recreating it without respecting the query).",partial_hallucination
