,src_lang,tgt_lang,src_text,mt_text,omit_spans,hall_spans,class_hall,class_omit,data_source,hall_mask,omit_mask,src_text_normalized,mt_text_normalized,hall_mask_normalized,omit_mask_normalized,perturbation,direction,selection,score_log_loss,score_alti_mean,score_alti_t_mean,score_attn_ot,score_comet_qe,score_labse,score_laser,score_xnli,score_sonar_cosine,score_blaser2_qe,score_log_loss_legacy
169,spa_Latn,eng_Latn,"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.","Si deseas aprender cómo lanzar un <<<búmeran>>> y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.",2_Small_hallucination,2_Small_omission,flores,0000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.",0000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,uniform,0.4391700029373169,-0.62647665,-0.57701796,0.2050295426571763,1.2833603620529177,-0.8429431,-0.9059502,-0.99852973,-0.74081236,-3.9559796,0.4391746819019317
170,spa_Latn,eng_Latn,"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.","«Si se empieza a comercializar, deberíamos tenerla. Es decir, <<<en principio>>>, no hay reparos <<<en contra de la energía nuclear», comentó Costello>>>.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",1_No_hallucination,3_Partial_omission,flores,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000011111111111100000000000000000111111111111111111111111111111111111111111111111110,"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000011111111111100000000000000000111111111111111111111111111111111111111111111111110,perturbed,spa_Latn_eng_Latn,biased,1.0913907289505005,-0.61182326,-0.46259806,0.3802158721313424,1.1245404481887815,-0.6047857,-0.7237576,-0.12614138,-0.35490465,-2.9709396,1.0913910865783691
171,spa_Latn,eng_Latn,"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.","En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",1_No_hallucination,1_No_omission,flores,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,worst,0.4970208704471588,-0.62777,-0.43460998,0.2010560577578172,0.5680681765079498,-0.93105996,-0.89432836,-0.99941915,-0.8830067,-4.6450534,0.4970225691795349
172,spa_Latn,eng_Latn,"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.","A ver como opinan los otro bilbiotecarios de <<<las puteadas que te mandan>>> por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los <<<pelotudos>>> pajeros como vos, cusquero cabeza de pija","Let's see what the other <<<fucked-up>>> bilbiotecarians think of <<<you>>> for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's <<<skinny>>> faggots like you, cock-headed cocksucker.",3_Partial_hallucination,3_Partial_omission,wiki,00000000000000000000000001111111110000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000001111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000,"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.",00000000000000000000000001111111110000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000001111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,worst,0.7211697101593018,-0.59828556,-0.58211565,0.6104315164880036,1.8242007493972776,-0.88353336,-0.92116326,-0.99518776,-0.8036541,-3.8157537,1.0406256914138794
173,spa_Latn,eng_Latn,Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,Siempre se ha llamado y seguirá llamando <<<BANDO NACIONAL>>>.,He's always called and he's always calling.,1_No_hallucination,2_Small_omission,wiki,0000000000000000000000000000000000000000000,00000000000000000000000000000000000000000111111111111110,Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,0000000000000000000000000000000000000000000,00000000000000000000000000000000000000000111111111111110,perturbed,spa_Latn_eng_Latn,uniform,1.086124300956726,-0.6578847,-0.4847572,0.1915040779540072,1.97308611869812,-0.6802851,-0.5590844,-0.004222076,-0.4257687,-2.4682555,1.0861239433288574
174,spa_Latn,eng_Latn,"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.","No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin <<<tilde>>>) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without <<<a hint>>>) of Argentine football, seems too biased to me.",2_Small_hallucination,2_Small_omission,wiki,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000,"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,worst,0.4446707367897033,-0.61110044,-0.67611104,0.2588297615800755,1.0125221274793148,-0.9204358,-0.8967899,-0.9993638,-0.88428706,-4.3534307,0.6418017745018005
175,spa_Latn,eng_Latn,"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.","Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, <<<resultaría incómodo, como mínimo>>>, y llevó al menos una hora lograr descender <<<a la primera persona del juego»>>>.","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",1_No_hallucination,3_Partial_omission,flores,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111100000000000000000000000000000000000000000000011111111111111111111111111111110,"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111100000000000000000000000000000000000000000000011111111111111111111111111111110,perturbed,spa_Latn_eng_Latn,biased,1.004491686820984,-0.6019101,-0.4146492,0.4125107395970764,1.1853152513504028,-0.68153286,-0.7905618,-0.6495111,-0.5272211,-3.1474662,1.004506230354309
176,spa_Latn,eng_Latn,"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.","Incluyen limitaciones financieras y una prohibición <<<de la Unión Europea>>> para exportar petróleo crudo, <<<industria>>> que representa <<<para la economía>>> iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",1_No_hallucination,3_Partial_omission,flores,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000011111111111111111110000000000000000000000000000000111111111000000000000000011111111111111110000000000000000000000000000000000000000,"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000011111111111111111110000000000000000000000000000000111111111000000000000000011111111111111110000000000000000000000000000000000000000,perturbed,spa_Latn_eng_Latn,uniform,0.6514666080474854,-0.6510825,-0.47351456,0.2846248357595431,0.5387436151504517,-0.8221402,-0.8864863,-0.9990178,-0.76803994,-4.0807476,0.6514701247215271
177,spa_Latn,eng_Latn,"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.","Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",1_No_hallucination,1_No_omission,flores,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,biased,0.2472217082977295,-0.6431435,-0.50532705,0.2027650417398547,0.5367379188537598,-0.8772977,-0.88508624,-0.9993915,-0.8859532,-4.9381948,0.2472314834594726
178,spa_Latn,eng_Latn,"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).","Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",1_No_hallucination,1_No_omission,wiki,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,natural,spa_Latn_eng_Latn,uniform,0.4503619968891144,-0.64957255,-0.7259929,0.2226218760642797,1.1305778622627258,-0.8870531,-0.9198204,-0.998953,-0.88371086,-4.261793,0.6496921181678772
