src_lang,tgt_lang,src_text,mt_text,ground_truth_text,ground_truth_classification,raw_output
spa_Latn,eng_Latn,"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.","If you want to learn how to throw a <<<buffalo>>> and get it back into your hand, make sure you have one that's suitable for the return.",2_Small_hallucination,"1. If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return. <<< >>>
2. 3_Partial_hallucination 


**Explanation:**

While the target sentence conveys the general idea of learning how to throw something back into one's hand, there is an invented element: **""buffalo.""**  This phrase directly contradicts the source's meaning of ""búmeran,"" which is a specific type of throwing object."
spa_Latn,eng_Latn,"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",1_No_hallucination,"1.  ""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it."" 
2.  3_Partial_hallucination 


**Explanation:**

* The phrase ""We should have it"" is not a direct translation of the source sentence, implying something missing from the original. It introduces an opinion and does not directly correspond to the source.
* While there may be some minor changes in word choice or style, this does go beyond simple stylistic differences and represents a more significant change."
spa_Latn,eng_Latn,"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",1_No_hallucination,"1. Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form. <<< >>>  <<< >>>>
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.","Let's see what the other <<<fucked-up>>> bilbiotecarians think of <<<you>>> for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's <<<skinny>>> faggots like you, cock-headed cocksucker.",3_Partial_hallucination,"1. Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker. <<< >>>
2. 3_Partial_hallucination 


**Explanation:**

While the translation aims for a similar tone to the source sentence, certain phrases are introduced that don't directly correspond. ""Fucked-up bilbiotecarians,""  ""deleted articles from anonymous people,"" and ""shit-horned wiki"" are all added by the translator based on their own interpretation of the source, creating new content that is not present in the original Spanish."
spa_Latn,eng_Latn,Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,He's always called and he's always calling.,1_No_hallucination,"1. Siempre se ha llamado y seguirá llamando BANDO NACIONAL. <<< >>> He's always called and he's always calling. 
2. No_hallucination"
spa_Latn,eng_Latn,"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without <<<a hint>>>) of Argentine football, seems too biased to me.",2_Small_hallucination,"1. Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me. <<< >>> the greatest thief (if, without a hint) of Argentine football<<< 
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",1_No_hallucination,"1. Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down. <<< >>>  resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego». 
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",1_No_hallucination,"1. They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings. <<< >>>
2. No_hallucination"
spa_Latn,eng_Latn,"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",1_No_hallucination,"1.  Religious scholars, philosophers, and scientists have studied time for thousands of years. <<< >>> 
2. 1_No_hallucination"
spa_Latn,eng_Latn,"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",1_No_hallucination,"1. If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query). 
2. 3_Partial_hallucination"
