src_text,mt_text,ground_truth_classification,predicted_label,match,comet_score
"Si deseas aprender cómo lanzar un búmeran y que vuelva a su mano, asegúrate de contar con uno que sea adecuado para el regreso.","If you want to learn how to throw a buffalo and get it back into your hand, make sure you have one that's suitable for the return.",2_Small_hallucination,3_Partial_hallucination,False,
"«Si se empieza a comercializar, deberíamos tenerla. Es decir, en principio, no hay reparos en contra de la energía nuclear», comentó Costello.","""If it's going to be commercialized, we should have it"", he said. ""There's no doubt about it.",1_No_hallucination,2_Small_hallucination,False,
"En la actualidad, brindar hospedaje y desayuno de lujo se ha vuelto, para los países del primer mundo, en una clase de forma de arte.","Today, providing luxurious accommodation and breakfast has become, for first world countries, a kind of art form.",1_No_hallucination,2_Partial_hallucination,False,
"A ver como opinan los otro bilbiotecarios de las puteadas que te mandan por borrar los articulos de gente anonima que se dedica a hacer crecer a la wiki CORNUDO de mierda, y anda en contra de ninguna etnia, si de los pelotudos pajeros como vos, cusquero cabeza de pija","Let's see what the other fucked-up bilbiotecarians think of you for deleting articles from anonymous people who are dedicated to growing this shit-horned wiki, and it's against any ethnicity, if it's skinny faggots like you, cock-headed cocksucker.",3_Partial_hallucination,2_Partial_hallucination,False,
Siempre se ha llamado y seguirá llamando BANDO NACIONAL.,He's always called and he's always calling.,1_No_hallucination,,False,
"No es que tenga mucho amor por este señor, pero terminar el artículo afirmando que en pocas palabras es el mayor ladron (si, sin tilde) del fútbol argentino. , me parece demasiado tendencioso.","Not that I have much love for this gentleman, but to end the article by stating that in a nutshell he is the greatest thief (if, without a hint) of Argentine football, seems too biased to me.",2_Small_hallucination,3_Partial_hallucination,False,
"Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Whatever time it takes to get caught up in a roller coaster, it's going to take at least an hour to get it down.",1_No_hallucination,3_Partial_hallucination,False,
"Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas.","They include financial constraints and a ban on exporting crude oil, which accounts for 80% of the country's foreign exchange earnings.",1_No_hallucination,,False,
"Tanto los eruditos religiosos, como los filosóficos y los científicos han estudiado al tiempo por miles de años.","Religious scholars, philosophers, and scientists have studied time for thousands of years.",1_No_hallucination,,False,
"Si quieres responder que haga los cambios a la plantilla que quedó, la respuesta es no , porque eso es igual que recrearla sin respetar la consulta ).","If you want to answer that I make the changes to the remaining template, the answer is no, because that's like recreating it without respecting the query).",1_No_hallucination,3_Partial_hallucination,False,
Me gustaría saber cuál es la fuente que indica que el sulfato de sodio sirva para acidulante.,I'd like to know what the source of the sodium sulfate is.,1_No_hallucination,,False,
"Exactamente a las 8:46 a. m., la ciudad se volvió silencio, marcando el preciso instante en el que el primer avión alcanzó su objetivo.","At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.",1_No_hallucination,,False,
"La verdad, como buen producto argentino, una mezcolanza de nombres destacados con personajes intrascendentes y de cuarta (futbolistas, Tristán, etc.).","The truth is, it's a good mix of names, and it's not a bad mix of names.",3_Partial_hallucination,2_Small_hallucination,False,[0.3723975419998169]
"Sinceramente no había pensado en ello, a mí no me sonó antinatural y la RAE no parece considerarlo un error.","I honestly didn't think about it, and I don't think it was a mistake.",1_No_hallucination,,False,
Saludos.SRuizR 15px ¡Para servirles!,Greetings. We're here to serve you!,1_No_hallucination,,False,
"A la fecha de su deceso, aparte de haber sido medallista olímpico y mundial, Saito era director del comité de entrenamiento de la Federación de Judo japonesa.","At the time of his death, Saito was the world's longest-serving member of the Judo Federation.",1_No_hallucination,3_Partial_hallucination,False,
"«Gracias por los que apoyaron a un convicto como yo», dijo Siriporn en una conferencia de prensa, según se lo citó.","""Thank you for supporting a convict like me"", said Siriporn in a press conference.",1_No_hallucination,,False,
"Las familias con hijos son algo que no se ve frecuentemente, pero ciertos albergues los aceptan en cuartos privados.","Families with children don't get to see each other often, but they do get to know each other.",3_Partial_hallucination,3_Partial_hallucination,True,
Saludos desde España.,Greetings from Spain.,1_No_hallucination,2_No_hallucination,False,
Cada vez que retoques el articulo de etnografia de America latina lo voy a revertir y como insistas solicitaré tu bloqueo por racista,"Every time you touch a piece of Latin America, I'm going to turn it upside down.",1_No_hallucination,3_Partial_hallucination,False,
"Cordialmente, un abrazoteUruk (Mensajes), 16:55 20 dic 2010 (UTC)",A warm welcome from Mr. and Mrs. O'Brien.,4_Full_hallucination,,False,
"La civilización del valle del Indo se desarrolló en la Edad del Bronce, en el subcontinente del noroeste de la India, que comprende la mayor parte del hoy territorio pakistaní y algunas zonas del noroeste indio y el noreste afgano.","The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.",1_No_hallucination,2_Small_hallucination,False,
"Luego entonces, ¿tendría caso ponerme a discutir con toda esa gente, siendo que el artículo será modificado incluso antes de que yo lo haga?","Then there is the need to argue with all these people, since the article will be modified before I can do so.",1_No_hallucination,,False,
Esto se hace para garantizar que la imagen se despliegue en la pantalla completa. Esto se denomina sobreexploración.,This is done to ensure that the image is displayed on the full screen.,1_No_hallucination,2_Small_hallucination,False,
15px Kuí kuu-de Yavidaxiu Ka an- Que feo...,15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,1_No_hallucination,3_Partial_hallucination,False,
"Hacia fines del siglo XVIII, Camboya también sufrió invasiones vietnamitas.","Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.",1_No_hallucination,2_No_hallucination,False,
"Aparte de eso, nunca ha demostrado que pueda hacer freestyle con soltura y calidad, lo que hace poco creible la calidad de este MC","Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.",1_No_hallucination,2_Small_hallucination,False,
"Por lo general, brindan mayor ancho de banda y mejor calidad de servicio. Están encriptados y, gracias a ello, es más complicado hackearlos.","They're encrypted and, thanks to that, it's more complicated to hack.",1_No_hallucination,1_No_hallucination,True,
EXIGO EXPLICACIONES,Explanations are required,1_No_hallucination,1_No_hallucination,True,
Es preciso contar con un permiso de travesía para poder acampar por debajo del borde del Gran Cañón.,You have to have a travel permit to camp below the rim of the Grand Canyon.,1_No_hallucination,,False,
"La edicion es legitima, la seccion decia 1976 a 1978 pero su contenido se extendia a 1981. saludos atte 191.84.100.","The issue is legitimate, but the content of the report is limited to 191.8 million copies.",3_Partial_hallucination,,False,[0.3060992956161499]
Porque pone Sucesor: Wii 2 ?,Why do you think he's wearing a suitcase?,4_Full_hallucination,,False,[0.3652084171772003]
Un plato típico Hangi se prepara dentro de un hoyo caliente hecho en el suelo.,A typical Hangi dish is prepared inside a hot hole made in the ground.,1_No_hallucination,,False,
Los submarinos alemanes se denominaron U-Boote. Los alemanes eran muy buenos para la navegación y operación de sus submarinos.,"The German submarines were called U-boats, and the Germans were very good at navigating them.",1_No_hallucination,2_Small_hallucination,False,
Massa debe estar fuera durante al menos lo que resta de la temporada 2009.,Massa should be out for at least the remainder of the 2009 season.,1_No_hallucination,2_Small_hallucination,False,
"En la actualidad, los vientos de Fred alcanzan las 105 millas por hora (165 km/h) y se desplaza en dirección al noroeste.","Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.",1_No_hallucination,,False,
"Si me dices que por ahora, las aguas están calmas, prefiero no hacer olas","If you tell me that for now, the waters are calm, I'd rather not wave",1_No_hallucination,2_Small_hallucination,False,
"Y en el siguiente párrafo se menciona la muerte fetal de su media hermana, y termina con En una entrevista con la revista Tú comentó que cuando tiene tiempo libre le gusta «pasear o simplemente caminar por ahí, también adoro ir de compras»","And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping",1_No_hallucination,,False,
pedazo de cabron no se como me vas a denunciar anda y vete a tomar por el culo mas valdria hicieses una enciclopedia mas veraz y no tantas admiraciones por asesinos de la historia ¿porque no tienes huevos de decir que carrillo fue un asesino ejecuto a mi abuelo en paracuellos solo por que iba a misa,I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia.,1_No_hallucination,2_Small_hallucination,False,
Mi opinión ha sido debidamente explicada.,My opinion has been duly explained.,1_No_hallucination,,False,
"Perdona Vos quien eres no te importa lo que haga Viva Argentinaaaaaaaaaaaaaa, PD bloquee mi ip seguire con el vandalismo y no lo sabras Jajajajajajaja Naña Ñaca Pd vandalle mas paginas","I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me.",3_Partial_hallucination,2_Small_hallucination,False,
Nunca,I never,2_Small_hallucination,,False,
Te mando un gran abrazo.25px,I 'll give you a big hug .,1_No_hallucination,,False,
"Fuego aliado eliminó, el 28 de junio, al mariscal Italo Balbo, gobernador general de Libia, y supuesto sucesor de Mussolini, durante su aterrizaje en Tobruk.","Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk.",1_No_hallucination,2_Small_hallucination,False,
Al Gore y el general Tommy Franks comentan rápidamente y de forma casual sus titulares preferidos (el de Gore fue cuando The Onion dijo que él y Tipper habían tenido el mejor sexo de sus vidas luego de ser vencidos en el Colegio Electoral del 2000).,"Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, such as ""The Onion"" and ""The Elephant in the Room"" and ""Gone With the Wind"".",3_Partial_hallucination,3_Partial_hallucination,True,
"El deseo del creyente es una experiencia directa, sensación o apreciación de la realidad divina, del dios o deidades.","The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.",1_No_hallucination,,False,
He notado que estás usando dos fotos en tu firma de usuario.,I noticed you're using two photos on your user signature.,1_No_hallucination,,False,
"> un rudeboy ERA (porque ya no existen, al menos, de los de verdad) un sicario de piel negra contratado por un productor de musica reggae de piel blanca para arruinarle la fiesta a otro productor.","I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person.",4_Full_hallucination,2_Small_hallucination,False,
El art. staba enlazado del art Trakhonas Kapısı en WP en turco.,The art. was linked from art Trakhonas Kapısı in WP in Turkish.,1_No_hallucination,,False,
"Un abrazo, GuS - ¡Dialoguemos! 03:38 11 feb 2008 (UTC) Por cierto, ¿exageraciones mías?","A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?",1_No_hallucination,2_Small_hallucination,False,
"Las distintas construcciones tienen diferentes capacidades, son susceptibles de tener distintas longitudes y grados de agudeza; también requieren un procesamiento diferenciado para dar sentido a la entrada y números disímiles para que funcionen de forma óptima.","Different constructions have different capabilities, but they also require a different level of detail to ensure that they are functioning properly and that they are not disrupted by lightning strikes.",3_Partial_hallucination,,False,
Consulte los viajes promocionados por el agente. Puede hacerlo en una página web tanto como en el escaparate de un negocio.,"You can do this on a website as well as in a shop window, if you like.",3_Partial_hallucination,2_Small_hallucination,False,
NO,It 's not .,2_Small_hallucination,1_No_hallucination,False,
Víctor Gevirtz 22:42 03/07/07,"It's not just me, it's me.",4_Full_hallucination,2_Small_hallucination,False,
¿Habría que archivar en listas diferentes los que fueron creados y los que no pasaron de la propuesta?,Shouldn't we have to file a separate list of those who did and those who didn't?,2_Small_hallucination,,False,
"Recursos naturales: Carbón, petróleo, gas natural, estaño, piedra caliza, hierro, sal (condimento), sal, arcilla, plomo, avena, cebada, lúpulo, patatas, remolacha, azúcar, tomates y trigo.","Natural resources: coal, oil and natural gas, coal, iron ore, coal ores, natural gas, oilseeds, ores and other petroleum-derived commodities.",3_Partial_hallucination,,False,
me dices porque te dedicas a borrar a la gente lo q ace???si no tienes nada q acer o te buscas amigos o trabaja o a algo de provexo xro deja de dar x kulo a la gente!,"Tell me why you're trying to get rid of people, if you don't have them, or if you're looking for friends, you can't get rid of them.",3_Partial_hallucination,3_Partial_hallucination,True,
"Hay botas con tachuelas y existe un accesorio adicional con tachuelas para condiciones resbaladizas, que se adapta a casi cualquier calzado, tanto para los tacones como para la suela.","There are slippery boots and there is an additional slippery accessory, which is suitable for almost any shoe, both heels and sole.",2_Small_hallucination,,False,
Mire señor esta claro que lo que usted desea y nose porque motivo he visto sus publicaciones anteriores en donde usted quiere hacer que todos piensen que Peru es mayoritariamente Amerindio lo cual segun el Censo 2007 eso no es asi y si lo fuera tendria que ponerlo es mi obligación la verdad no se qu,Look sir this is clear that what you want and wear because reason I've seen your previous posts where you want to make everyone think Peru is mostly indigenous which according to the 2007 census that's not so and if it were I'd have to put it is my obligation the truth I don't know what,2_Small_hallucination,3_Partial_hallucination,False,
"Aun cuando podría pensar que lo más lógico es unirse a la compañía aérea con la que más viaja, debe saber que los beneficios ofrecidos suelen ser diferentes y que, a veces, los puntos de viajero pueden otorgarle más beneficios en otra aerolínea de la misma alianza.","Even if you may think that it makes more sense to join the airline with which you travel the most, you should know that the benefits offered are usually different and that sometimes traveler points can give you more benefits at another airline in the same alliance.",1_No_hallucination,,False,
"At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.","En el extremo superior, los B&B obviamente compiten principalmente en dos cosas principales: ropa de cama y desayuno.",1_No_hallucination,2_Small_hallucination,False,
Student visas generally have different requirements and application procedures from normal tourist or business visas.,Los visados de estudiantes generalmente son diferentes a los de los visados de negocios.,1_No_hallucination,2_Small_hallucination,False,
"That means we are able to successfully predict what other humans perceive, intend, believe, know or desire.","Eso significa que somos capaces de predecir con éxito lo que otros humanos perciben, pretenden, creen, saben o desean.",1_No_hallucination,3_Partial_hallucination,False,
"::Also, if it's worth telling, how did your opinion of the FLC process get to where it is?","Además, si es que vale la pena decirlo, ¿cómo es que tu opinión sobre el proceso de FLC llega a este punto?",1_No_hallucination,,False,
duhau9fnjsg,de la Comisión.,4_Full_hallucination,,False,
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","La tormenta, que se encuentra a unos 10 kilómetros al oeste de las islas de Cabo Verde, es probable que se desvanezca antes de que se produzca una amenaza en el área.",1_No_hallucination,,False,
"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.","Entre ellas se encuentran las restricciones financieras y la prohibición por parte de la Unión Europea de la exportación de petróleo, de la que se obtiene el 80% de sus ingresos extranjeros.",1_No_hallucination,,False,
"So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.","Así que si estuvieras de pie junto a la costa, podrías ver hasta los guijarros o trozos que estuvieran en el fondo.",2_Small_hallucination,,False,[0.6529558300971985]
"Especially Gogo Dodo, and the Dark Lord Trombonator? - contribs","Especialmente Gogo Dodo, y el Señor Oscuro Trombonador? - contribuciones",1_No_hallucination,3_Partial_hallucination,False,
Please keep your personal opinions about me to yourself.,"Por favor, mantén tu opinión personal sobre mí.",1_No_hallucination,,False,
